@SpeciesCode,@MeasurementDateGMT,@Value,SiteCode
NO2,2023-01-01 00:00:00,9.8,ME9
NO2,2023-01-01 01:00:00,12.7,ME9
NO2,2023-01-01 02:00:00,9.3,ME9
NO2,2023-01-01 03:00:00,8.6,ME9
NO2,2023-01-01 04:00:00,6.4,ME9
NO2,2023-01-01 05:00:00,9.8,ME9
NO2,2023-01-01 06:00:00,10.7,ME9
NO2,2023-01-01 07:00:00,11.4,ME9
NO2,2023-01-01 08:00:00,18.7,ME9
NO2,2023-01-01 09:00:00,17,ME9
NO2,2023-01-01 10:00:00,13.5,ME9
NO2,2023-01-01 11:00:00,29.9,ME9
NO2,2023-01-01 12:00:00,35.6,ME9
NO2,2023-01-01 13:00:00,24.5,ME9
NO2,2023-01-01 14:00:00,34.4,ME9
NO2,2023-01-01 15:00:00,34.9,ME9
NO2,2023-01-01 16:00:00,44,ME9
NO2,2023-01-01 17:00:00,69.8,ME9
NO2,2023-01-01 18:00:00,57.4,ME9
NO2,2023-01-01 19:00:00,49.5,ME9
NO2,2023-01-01 20:00:00,32,ME9
NO2,2023-01-01 21:00:00,53.8,ME9
NO2,2023-01-01 22:00:00,43.3,ME9
NO2,2023-01-01 23:00:00,53.5,ME9
NO2,2023-01-02 00:00:00,29.7,ME9
NO2,2023-01-02 01:00:00,23.2,ME9
NO2,2023-01-02 02:00:00,7.3,ME9
NO2,2023-01-02 03:00:00,8.8,ME9
NO2,2023-01-02 04:00:00,23,ME9
NO2,2023-01-02 05:00:00,21.1,ME9
NO2,2023-01-02 06:00:00,17.8,ME9
NO2,2023-01-02 07:00:00,20.8,ME9
NO2,2023-01-02 08:00:00,18.7,ME9
NO2,2023-01-02 09:00:00,25.3,ME9
NO2,2023-01-02 10:00:00,29.7,ME9
NO2,2023-01-02 11:00:00,33.8,ME9
NO2,2023-01-02 12:00:00,27.1,ME9
NO2,2023-01-02 13:00:00,28,ME9
NO2,2023-01-02 14:00:00,33,ME9
NO2,2023-01-02 15:00:00,48.1,ME9
NO2,2023-01-02 16:00:00,49.1,ME9
NO2,2023-01-02 17:00:00,76,ME9
NO2,2023-01-02 18:00:00,71.8,ME9
NO2,2023-01-02 19:00:00,78.9,ME9
NO2,2023-01-02 20:00:00,81.7,ME9
NO2,2023-01-02 21:00:00,72.3,ME9
NO2,2023-01-02 22:00:00,61.3,ME9
NO2,2023-01-02 23:00:00,64.3,ME9
NO2,2023-01-03 00:00:00,66.3,ME9
NO2,2023-01-03 01:00:00,29.4,ME9
NO2,2023-01-03 02:00:00,10.6,ME9
NO2,2023-01-03 03:00:00,10.6,ME9
NO2,2023-01-03 04:00:00,18.6,ME9
NO2,2023-01-03 05:00:00,23.9,ME9
NO2,2023-01-03 06:00:00,55.1,ME9
NO2,2023-01-03 07:00:00,74.5,ME9
NO2,2023-01-03 08:00:00,55.7,ME9
NO2,2023-01-03 09:00:00,36.3,ME9
NO2,2023-01-03 10:00:00,34.4,ME9
NO2,2023-01-03 11:00:00,44.2,ME9
NO2,2023-01-03 12:00:00,39.4,ME9
NO2,2023-01-03 13:00:00,46.4,ME9
NO2,2023-01-03 14:00:00,44.6,ME9
NO2,2023-01-03 15:00:00,40.2,ME9
NO2,2023-01-03 16:00:00,47.8,ME9
NO2,2023-01-03 17:00:00,28.8,ME9
NO2,2023-01-03 18:00:00,41.4,ME9
NO2,2023-01-03 19:00:00,28.3,ME9
NO2,2023-01-03 20:00:00,24,ME9
NO2,2023-01-03 21:00:00,19.7,ME9
NO2,2023-01-03 22:00:00,18.8,ME9
NO2,2023-01-03 23:00:00,11.9,ME9
NO2,2023-01-04 00:00:00,6.1,ME9
NO2,2023-01-04 01:00:00,5.2,ME9
NO2,2023-01-04 02:00:00,3.6,ME9
NO2,2023-01-04 03:00:00,3.9,ME9
NO2,2023-01-04 04:00:00,4.5,ME9
NO2,2023-01-04 05:00:00,11.3,ME9
NO2,2023-01-04 06:00:00,22.6,ME9
NO2,2023-01-04 07:00:00,37.3,ME9
NO2,2023-01-04 08:00:00,27.9,ME9
NO2,2023-01-04 09:00:00,31.6,ME9
NO2,2023-01-04 10:00:00,22.7,ME9
NO2,2023-01-04 11:00:00,,ME9
NO2,2023-01-04 12:00:00,24.2,ME9
NO2,2023-01-04 13:00:00,20.8,ME9
NO2,2023-01-04 14:00:00,21.3,ME9
NO2,2023-01-04 15:00:00,20.5,ME9
NO2,2023-01-04 16:00:00,20.1,ME9
NO2,2023-01-04 17:00:00,17.5,ME9
NO2,2023-01-04 18:00:00,13.4,ME9
NO2,2023-01-04 19:00:00,12.2,ME9
NO2,2023-01-04 20:00:00,11.4,ME9
NO2,2023-01-04 21:00:00,8.3,ME9
NO2,2023-01-04 22:00:00,9.2,ME9
NO2,2023-01-04 23:00:00,11.3,ME9
NO2,2023-01-05 00:00:00,8.4,ME9
NO2,2023-01-05 01:00:00,4.1,ME9
NO2,2023-01-05 02:00:00,2.2,ME9
NO2,2023-01-05 03:00:00,1.9,ME9
NO2,2023-01-05 04:00:00,6.7,ME9
NO2,2023-01-05 05:00:00,12.9,ME9
NO2,2023-01-05 06:00:00,34.3,ME9
NO2,2023-01-05 07:00:00,48.4,ME9
NO2,2023-01-05 08:00:00,82.7,ME9
NO2,2023-01-05 09:00:00,43.2,ME9
NO2,2023-01-05 10:00:00,31.4,ME9
NO2,2023-01-05 11:00:00,37.7,ME9
NO2,2023-01-05 12:00:00,24.3,ME9
NO2,2023-01-05 13:00:00,30.1,ME9
NO2,2023-01-05 14:00:00,36.4,ME9
NO2,2023-01-05 15:00:00,36.1,ME9
NO2,2023-01-05 16:00:00,56.5,ME9
NO2,2023-01-05 17:00:00,61.5,ME9
NO2,2023-01-05 18:00:00,65.9,ME9
NO2,2023-01-05 19:00:00,44.9,ME9
NO2,2023-01-05 20:00:00,37.5,ME9
NO2,2023-01-05 21:00:00,21.1,ME9
NO2,2023-01-05 22:00:00,20.7,ME9
NO2,2023-01-05 23:00:00,15.7,ME9
NO2,2023-01-06 00:00:00,8.2,ME9
NO2,2023-01-06 01:00:00,5.5,ME9
NO2,2023-01-06 02:00:00,2.2,ME9
NO2,2023-01-06 03:00:00,2.8,ME9
NO2,2023-01-06 04:00:00,6.6,ME9
NO2,2023-01-06 05:00:00,16.3,ME9
NO2,2023-01-06 06:00:00,39.8,ME9
NO2,2023-01-06 07:00:00,59.2,ME9
NO2,2023-01-06 08:00:00,74.5,ME9
NO2,2023-01-06 09:00:00,81.3,ME9
NO2,2023-01-06 10:00:00,61,ME9
NO2,2023-01-06 11:00:00,64.4,ME9
NO2,2023-01-06 12:00:00,56,ME9
NO2,2023-01-06 13:00:00,53.9,ME9
NO2,2023-01-06 14:00:00,61.5,ME9
NO2,2023-01-06 15:00:00,79.3,ME9
NO2,2023-01-06 16:00:00,96.8,ME9
NO2,2023-01-06 17:00:00,78.3,ME9
NO2,2023-01-06 18:00:00,69.7,ME9
NO2,2023-01-06 19:00:00,43.7,ME9
NO2,2023-01-06 20:00:00,30.8,ME9
NO2,2023-01-06 21:00:00,15.6,ME9
NO2,2023-01-06 22:00:00,21.7,ME9
NO2,2023-01-06 23:00:00,11.7,ME9
NO2,2023-01-07 00:00:00,9.1,ME9
NO2,2023-01-07 01:00:00,5.6,ME9
NO2,2023-01-07 02:00:00,2.8,ME9
NO2,2023-01-07 03:00:00,2.9,ME9
NO2,2023-01-07 04:00:00,2.8,ME9
NO2,2023-01-07 05:00:00,5.2,ME9
NO2,2023-01-07 06:00:00,8.4,ME9
NO2,2023-01-07 07:00:00,10.9,ME9
NO2,2023-01-07 08:00:00,10.5,ME9
NO2,2023-01-07 09:00:00,15.4,ME9
NO2,2023-01-07 10:00:00,23.4,ME9
NO2,2023-01-07 11:00:00,20.3,ME9
NO2,2023-01-07 12:00:00,25.9,ME9
NO2,2023-01-07 13:00:00,35.4,ME9
NO2,2023-01-07 14:00:00,35.9,ME9
NO2,2023-01-07 15:00:00,41.4,ME9
NO2,2023-01-07 16:00:00,30.4,ME9
NO2,2023-01-07 17:00:00,39.4,ME9
NO2,2023-01-07 18:00:00,37.8,ME9
NO2,2023-01-07 19:00:00,42.5,ME9
NO2,2023-01-07 20:00:00,49.1,ME9
NO2,2023-01-07 21:00:00,31.4,ME9
NO2,2023-01-07 22:00:00,33.3,ME9
NO2,2023-01-07 23:00:00,35.9,ME9
NO2,2023-01-08 00:00:00,21.9,ME9
NO2,2023-01-08 01:00:00,18.6,ME9
NO2,2023-01-08 02:00:00,3.2,ME9
NO2,2023-01-08 03:00:00,4.2,ME9
NO2,2023-01-08 04:00:00,2.2,ME9
NO2,2023-01-08 05:00:00,7.2,ME9
NO2,2023-01-08 06:00:00,9.9,ME9
NO2,2023-01-08 07:00:00,16,ME9
NO2,2023-01-08 08:00:00,29.3,ME9
NO2,2023-01-08 09:00:00,31.1,ME9
NO2,2023-01-08 10:00:00,23,ME9
NO2,2023-01-08 11:00:00,20.9,ME9
NO2,2023-01-08 12:00:00,27.6,ME9
NO2,2023-01-08 13:00:00,46.7,ME9
NO2,2023-01-08 14:00:00,32.3,ME9
NO2,2023-01-08 15:00:00,35.4,ME9
NO2,2023-01-08 16:00:00,41.2,ME9
NO2,2023-01-08 17:00:00,22.9,ME9
NO2,2023-01-08 18:00:00,44.5,ME9
NO2,2023-01-08 19:00:00,71.3,ME9
NO2,2023-01-08 20:00:00,44.5,ME9
NO2,2023-01-08 21:00:00,21.6,ME9
NO2,2023-01-08 22:00:00,29.8,ME9
NO2,2023-01-08 23:00:00,33.8,ME9
NO2,2023-01-09 00:00:00,9.7,ME9
NO2,2023-01-09 01:00:00,5.3,ME9
NO2,2023-01-09 02:00:00,2.7,ME9
NO2,2023-01-09 03:00:00,3.8,ME9
NO2,2023-01-09 04:00:00,3.9,ME9
NO2,2023-01-09 05:00:00,22.1,ME9
NO2,2023-01-09 06:00:00,36.2,ME9
NO2,2023-01-09 07:00:00,46,ME9
NO2,2023-01-09 08:00:00,34,ME9
NO2,2023-01-09 09:00:00,36,ME9
NO2,2023-01-09 10:00:00,27.6,ME9
NO2,2023-01-09 11:00:00,25.8,ME9
NO2,2023-01-09 12:00:00,18.3,ME9
NO2,2023-01-09 13:00:00,20,ME9
NO2,2023-01-09 14:00:00,16.9,ME9
NO2,2023-01-09 15:00:00,27.8,ME9
NO2,2023-01-09 16:00:00,23.3,ME9
NO2,2023-01-09 17:00:00,39,ME9
NO2,2023-01-09 18:00:00,46.9,ME9
NO2,2023-01-09 19:00:00,28.1,ME9
NO2,2023-01-09 20:00:00,23,ME9
NO2,2023-01-09 21:00:00,23.7,ME9
NO2,2023-01-09 22:00:00,18,ME9
NO2,2023-01-09 23:00:00,24.8,ME9
NO2,2023-01-10 00:00:00,14.8,ME9
NO2,2023-01-10 01:00:00,15.4,ME9
NO2,2023-01-10 02:00:00,8.5,ME9
NO2,2023-01-10 03:00:00,11.6,ME9
NO2,2023-01-10 04:00:00,10.5,ME9
NO2,2023-01-10 05:00:00,27.7,ME9
NO2,2023-01-10 06:00:00,38.7,ME9
NO2,2023-01-10 07:00:00,65.4,ME9
NO2,2023-01-10 08:00:00,50.1,ME9
NO2,2023-01-10 09:00:00,51.4,ME9
NO2,2023-01-10 10:00:00,32.4,ME9
NO2,2023-01-10 11:00:00,32.6,ME9
NO2,2023-01-10 12:00:00,37.9,ME9
NO2,2023-01-10 13:00:00,36.4,ME9
NO2,2023-01-10 14:00:00,38.2,ME9
NO2,2023-01-10 15:00:00,35.9,ME9
NO2,2023-01-10 16:00:00,33.2,ME9
NO2,2023-01-10 17:00:00,47.6,ME9
NO2,2023-01-10 18:00:00,36.3,ME9
NO2,2023-01-10 19:00:00,27.6,ME9
NO2,2023-01-10 20:00:00,28.1,ME9
NO2,2023-01-10 21:00:00,13.9,ME9
NO2,2023-01-10 22:00:00,13.3,ME9
NO2,2023-01-10 23:00:00,4.6,ME9
NO2,2023-01-11 00:00:00,4.6,ME9
NO2,2023-01-11 01:00:00,3.2,ME9
NO2,2023-01-11 02:00:00,3.7,ME9
NO2,2023-01-11 03:00:00,2.8,ME9
NO2,2023-01-11 04:00:00,4.1,ME9
NO2,2023-01-11 05:00:00,9.7,ME9
NO2,2023-01-11 06:00:00,20.7,ME9
NO2,2023-01-11 07:00:00,29,ME9
NO2,2023-01-11 08:00:00,35.1,ME9
NO2,2023-01-11 09:00:00,38.5,ME9
NO2,2023-01-11 10:00:00,21.1,ME9
NO2,2023-01-11 11:00:00,24.6,ME9
NO2,2023-01-11 12:00:00,17.1,ME9
NO2,2023-01-11 13:00:00,21.5,ME9
NO2,2023-01-11 14:00:00,36.7,ME9
NO2,2023-01-11 15:00:00,50.6,ME9
NO2,2023-01-11 16:00:00,35.9,ME9
NO2,2023-01-11 17:00:00,36.7,ME9
NO2,2023-01-11 18:00:00,27.8,ME9
NO2,2023-01-11 19:00:00,17.7,ME9
NO2,2023-01-11 20:00:00,17.2,ME9
NO2,2023-01-11 21:00:00,14.7,ME9
NO2,2023-01-11 22:00:00,12.7,ME9
NO2,2023-01-11 23:00:00,8.5,ME9
NO2,2023-01-12 00:00:00,7.6,ME9
NO2,2023-01-12 01:00:00,4.9,ME9
NO2,2023-01-12 02:00:00,2,ME9
NO2,2023-01-12 03:00:00,1.7,ME9
NO2,2023-01-12 04:00:00,2.3,ME9
NO2,2023-01-12 05:00:00,6.4,ME9
NO2,2023-01-12 06:00:00,11.4,ME9
NO2,2023-01-12 07:00:00,28.8,ME9
NO2,2023-01-12 08:00:00,23.9,ME9
NO2,2023-01-12 09:00:00,26,ME9
NO2,2023-01-12 10:00:00,26.3,ME9
NO2,2023-01-12 11:00:00,24.9,ME9
NO2,2023-01-12 12:00:00,24.1,ME9
NO2,2023-01-12 13:00:00,24,ME9
NO2,2023-01-12 14:00:00,27.2,ME9
NO2,2023-01-12 15:00:00,30,ME9
NO2,2023-01-12 16:00:00,33.2,ME9
NO2,2023-01-12 17:00:00,24.6,ME9
NO2,2023-01-12 18:00:00,20.7,ME9
NO2,2023-01-12 19:00:00,19.4,ME9
NO2,2023-01-12 20:00:00,16.7,ME9
NO2,2023-01-12 21:00:00,22.2,ME9
NO2,2023-01-12 22:00:00,14.3,ME9
NO2,2023-01-12 23:00:00,11.9,ME9
NO2,2023-01-13 00:00:00,7.5,ME9
NO2,2023-01-13 01:00:00,4.9,ME9
NO2,2023-01-13 02:00:00,1.9,ME9
NO2,2023-01-13 03:00:00,1.4,ME9
NO2,2023-01-13 04:00:00,1.4,ME9
NO2,2023-01-13 05:00:00,5.9,ME9
NO2,2023-01-13 06:00:00,13.4,ME9
NO2,2023-01-13 07:00:00,16.5,ME9
NO2,2023-01-13 08:00:00,17.1,ME9
NO2,2023-01-13 09:00:00,15,ME9
NO2,2023-01-13 10:00:00,16.2,ME9
NO2,2023-01-13 11:00:00,13.2,ME9
NO2,2023-01-13 12:00:00,15.6,ME9
NO2,2023-01-13 13:00:00,12.8,ME9
NO2,2023-01-13 14:00:00,18.9,ME9
NO2,2023-01-13 15:00:00,20.5,ME9
NO2,2023-01-13 16:00:00,26.6,ME9
NO2,2023-01-13 17:00:00,39.6,ME9
NO2,2023-01-13 18:00:00,36.1,ME9
NO2,2023-01-13 19:00:00,33.6,ME9
NO2,2023-01-13 20:00:00,29,ME9
NO2,2023-01-13 21:00:00,54.8,ME9
NO2,2023-01-13 22:00:00,40.3,ME9
NO2,2023-01-13 23:00:00,28.7,ME9
NO2,2023-01-14 00:00:00,15.7,ME9
NO2,2023-01-14 01:00:00,14.3,ME9
NO2,2023-01-14 02:00:00,6.2,ME9
NO2,2023-01-14 03:00:00,3.8,ME9
NO2,2023-01-14 04:00:00,2.5,ME9
NO2,2023-01-14 05:00:00,4.2,ME9
NO2,2023-01-14 06:00:00,7,ME9
NO2,2023-01-14 07:00:00,8.2,ME9
NO2,2023-01-14 08:00:00,20.2,ME9
NO2,2023-01-14 09:00:00,29.8,ME9
NO2,2023-01-14 10:00:00,23.2,ME9
NO2,2023-01-14 11:00:00,34.2,ME9
NO2,2023-01-14 12:00:00,24.5,ME9
NO2,2023-01-14 13:00:00,17.1,ME9
NO2,2023-01-14 14:00:00,14.8,ME9
NO2,2023-01-14 15:00:00,15.3,ME9
NO2,2023-01-14 16:00:00,16.9,ME9
NO2,2023-01-14 17:00:00,18,ME9
NO2,2023-01-14 18:00:00,20.3,ME9
NO2,2023-01-14 19:00:00,17.5,ME9
NO2,2023-01-14 20:00:00,14.5,ME9
NO2,2023-01-14 21:00:00,11.5,ME9
NO2,2023-01-14 22:00:00,11,ME9
NO2,2023-01-14 23:00:00,8.7,ME9
NO2,2023-01-15 00:00:00,8.1,ME9
NO2,2023-01-15 01:00:00,5,ME9
NO2,2023-01-15 02:00:00,4.1,ME9
NO2,2023-01-15 03:00:00,2.1,ME9
NO2,2023-01-15 04:00:00,2.2,ME9
NO2,2023-01-15 05:00:00,5.8,ME9
NO2,2023-01-15 06:00:00,4.8,ME9
NO2,2023-01-15 07:00:00,9.2,ME9
NO2,2023-01-15 08:00:00,11.6,ME9
NO2,2023-01-15 09:00:00,13.9,ME9
NO2,2023-01-15 10:00:00,13.6,ME9
NO2,2023-01-15 11:00:00,15.1,ME9
NO2,2023-01-15 12:00:00,15.1,ME9
NO2,2023-01-15 13:00:00,16.2,ME9
NO2,2023-01-15 14:00:00,22.6,ME9
NO2,2023-01-15 15:00:00,22.7,ME9
NO2,2023-01-15 16:00:00,31,ME9
NO2,2023-01-15 17:00:00,43,ME9
NO2,2023-01-15 18:00:00,28.7,ME9
NO2,2023-01-15 19:00:00,70.7,ME9
NO2,2023-01-15 20:00:00,59.3,ME9
NO2,2023-01-15 21:00:00,50.3,ME9
NO2,2023-01-15 22:00:00,47.7,ME9
NO2,2023-01-15 23:00:00,32.1,ME9
